stt,ten_sp,gia_ban,doanh_so_365,so_luong_ban_365,tong_doanh_so,tong_luot_ban,tong_danh_gia,brand,phan_khuc_gia,pct_doanh_so,ti_le_danh_gia
159,Xì dầu đặc biệt Lee Kum Kee Premium Dark Soy Sauce 500ml,54400,65788500,117,106046400,1888,3900,Lee Kum Kee,Trung (50-150k),0.03,2.0657
160,"COMBO 20 GÓI Sốt muối kim chi O'food gói 180g, chuẩn vị Hàn Quốc",560000,64432000,1150,102344000,1830,480,O'food,Cao (>150k),0.03,0.2623
161,"Bộ 3 canh chua: Canh Chua Chay, Canh Măng Chua Nấm Hương, Canh Gà Lá Giang",184000,63112000,3430,63112000,3430,510,I-soup,Cao (>150k),0.02,0.1487
162,"Sốt mì thuyền boat noodles Thích Cay 250ml, nước trộn đậm đà, chuẩn vị Thái",79000,62681990,7940,62681990,7940,1610,THÍCH CAY,Trung (50-150k),0.02,0.2028
163,Bột sả nguyên chất Natural DH Foods chế biến thực phẩm 30gr - DHGVT56,17292,6265821629,4161,137802095,9169,1866,Dh Foods,Rẻ (<50k),2.46,0.2035
164,Hộp Quà Đậm Đà Tình Thân GỒM 1 Nước Mắm Tĩn Tôm Biển 60N 500ml Và 1 Tĩn Cá Cơm Ruột Đỏ 250 ml không chất bảo quản,680000,62040000,900,102790000,1470,250,Nước Mắm Tĩn,Cao (>150k),0.02,0.1701
165,"Combo Tiện Lợi - Sa tế sò điệp 250g, Kho quẹt tôm thịt 250g",149000,61936100,3970,183777970,1179,3140,Unknown,Trung (50-150k),0.02,2.6633
166,Xốt mì Spaghetti vị cà chua Ottogi gói 110g,12200,61653900,4761,102275900,7873,7240,Ottogi,Rẻ (<50k),0.02,0.9196
167,Nước mắm cá cơm Thuận Phát 60 độ đạm 490ml,110000,60367867,5420,88869967,7980,1940,THUẬN PHÁT,Trung (50-150k),0.02,0.2431
168,"[Combo 3 chai] Nước mắm nhỉ Làng Chài Xưa nhãn xanh xuất khẩu, nhãn đỏ đậm đà, nhãn vàng sánh đặc 500ml/chai thủy tinh",169000,59503000,3310,88823000,4950,1490,Làng Chài Xưa,Cao (>150k),0.02,0.301
169,Xốt gà chiên nước mắm Cholimex - gói 90g tiện lợi.,7380,59318390,7307,59588990,734,9230,Cholimex,Rẻ (<50k),0.02,12.5749
170,"Sốt Ướp Chấm Dh Foods - Sốt Me Chua Ngọt, Ướp BBQ, Tiêu Đen, Thịt Nướng Mật Ong, Bít Tết Tiêu Chín, Bít Tết Trứng Muối",25000,59018100,178,63862600,1924,2070,Dh Foods,Rẻ (<50k),0.02,1.0759
171,Gia vị ướp thịt nướng Natural DH Foods nêm sẵn thành phần tự nhiên gói 10gr - DHGVT88,8678,59007218,6933,152011630,1787,1661,Dh Foods,Rẻ (<50k),0.02,0.9295
